weekday,hour,best_discrete,ks_discrete,p_discrete,params_discrete,best_continuous,ks_continuous,p_continuous,params_continuous
2,14,poisson,0.11641952199423766,0.008094804526900926,{'mu': 18.815},norm,0.0490041586327844,0.7038988543073342,"{'loc': 18.83110505673958, 'scale': 4.863281351252041}"
2,15,nbinom,0.1260863775332497,0.003132504562497177,"{'n': 46.22667365084724, 'p': 0.7412673673523066}",norm,0.033128662206238,0.9755098702132606,"{'loc': 16.121241834147405, 'scale': 4.640442921345635}"
2,16,nbinom,0.12910894305233905,0.0022917984056614864,"{'n': 183.1731301187826, 'p': 0.9200605280158863}",gamma,0.04185536887335939,0.860029247064807,"{'a': 79.06916184320332, 'loc': -21.062191465455108, 'scale': 0.46735319509041007}"
2,17,poisson,0.13695459729225984,0.0009834616043205937,{'mu': 15.99},norm,0.04169477098419583,0.8630657606410822,"{'loc': 16.009258527605592, 'scale': 4.333493480597422}"
2,18,poisson,0.11405737633585622,0.01009093783445164,{'mu': 18.145},norm,0.033342145454770544,0.97397710644023,"{'loc': 18.12770491952465, 'scale': 5.012225150758836}"
2,19,nbinom,0.11955263841711833,0.006000598267884648,"{'n': 41.01620912468273, 'p': 0.6916005883709762}",norm,0.04273842822029761,0.8428454133538493,"{'loc': 18.283954884415117, 'scale': 5.157403751147741}"
2,20,nbinom,0.11325042165834645,0.010868794294718069,"{'n': 46.579471060674734, 'p': 0.7098963126228963}",norm,0.04462230507939613,0.8037343394979943,"{'loc': 19.014175746470205, 'scale': 5.167687450890043}"
2,21,poisson,0.11920252178667973,0.006207193980585952,{'mu': 17.31},gamma,0.055250551685881555,0.5558552530334797,"{'a': 214.79933580393327, 'loc': -51.03676179419449, 'scale': 0.31814779417517836}"
2,22,nbinom,0.09432596259534975,0.053293517593923756,"{'n': 106.73812661430615, 'p': 0.882365707411748}",gamma,0.05529352868662507,0.5548584729474617,"{'a': 44.33581834930365, 'loc': -12.501500604254211, 'scale': 0.6028382040609352}"
2,23,poisson,0.09504739708118648,0.05042700648414156,{'mu': 12.295},gamma,0.0306370913035644,0.9890993476680824,"{'a': 21.65881101495598, 'loc': -5.737367544506254, 'scale': 0.8329095669179651}"
3,0,nbinom,0.10063222521217408,0.03240352021355175,"{'n': 19.07662762667475, 'p': 0.6552923756552516}",weibull_min,0.03445464410447441,0.9649619248433713,"{'c': 2.269368348907318, 'loc': 1.744623419577859, 'scale': 9.370624335834258}"
3,1,poisson,0.1059521486425894,0.021725429290921,{'mu': 7.05050505050505},gamma,0.034788911307248926,0.9634872040981811,"{'a': 5.128804047815388, 'loc': -0.08055011135399076, 'scale': 1.3953055595091244}"
3,2,poisson,0.1506431736062045,0.00020845377910231694,{'mu': 4.814070351758794},gamma,0.03577633449923323,0.9528759705674644,"{'a': 4.472935573642927, 'loc': -0.6569286202130115, 'scale': 1.2246179221287115}"
